,QuollRun,Cycle,Duration,Plag,Flag,Hlag,DF,DFH,DFF,Speed,Gait,sdh,sdf,PlagM,FlagM,HlagM,GaitM,surf,cali,SpC,GaitCY,GaitCYM
256,gale_f2_polexypts.csv,5,83.75,0.32238806,0.047761194,0.011940299,0.744038938,0.876033058,0.612044818,507.9046228,Bound,159.0742338,161.4970657,0.794029851,0.071641791,0,Half Bound,pole,1.091124426,465.4873548,Bound,Bound
257,gale_f2_polexypts.csv,6,115.5,0.83982684,0.043290043,0.008658009,0.841927427,0.865979853,0.817875,377.8766657,Bound,161.7124277,172.8006377,0.796536797,0.004329004,-0.004329004,Bound,pole,1.091124426,346.3185836,Bound,Bound
258,gale_f3_flatxypts.csv,1,52,0.326923077,0.076923077,0,0.264444444,0.283119658,0.245769231,2661.327074,Half Bound,622.4088318,595.4728546,0.336538462,0.048076923,0,Bound,flat,1.011640252,2630.705005,Bound,Bound
259,gale_f3_flatxypts.csv,2,36.5,0.575342466,0.164383562,0.054794521,0.41959617,0.409216909,0.42997543,2723.233861,Transverse Gallop,352.3112473,384.9380707,0.561643836,0.164383562,0.01369863,Half Bound,flat,1.011640252,2691.899473,Half Bound,Half Bound
260,gale_f3_polexypts.csv,1,39.75,0.603773585,0.075471698,0.050314465,0.560969155,0.535167328,0.586770982,1312.460456,Transverse Gallop,194.3756333,192.8730921,0.591194969,0.075471698,0.012578616,Half Bound,pole,1.091124426,1202.85132,Bound,Bound
261,gale_f3_polexypts.csv,2,45.5,0.593406593,0.043956044,0,0.572137338,0.543478261,0.600796416,1242.436676,Bound,221.7548422,216.7745863,0.593406593,0.087912088,0,Half Bound,pole,1.091124426,1138.675523,Bound,Bound
262,gale_f3_polexypts.csv,3,46.25,0.691891892,0.216216216,0,0.589164717,0.586956522,0.591372913,1214.971198,Half Bound,198.2928226,205.792106,0.67027027,0.183783784,0,Half Bound,pole,1.091124426,1113.503803,Half Bound,Half Bound
263,gale_f3_polexypts.csv,4,43.25,0.670520231,0.115606936,0,0.5669926,0.506078224,0.627906977,1319.716021,Half Bound,223.2198464,219.1109717,0.589595376,0.092485549,-0.023121387,Rotary Gallop,pole,1.091124426,1209.500942,Half Bound,Bound
264,gale_f4_flatxypts.csv,1,48.25,0.414507772,0.165803109,0,0.364333485,0.343137255,0.385529716,2028.310227,Half Bound,405.0044733,371.5279623,0.404145078,0.124352332,0,Half Bound,flat,1.011640252,2004.971849,Half Bound,Half Bound
265,gale_f4_flatxypts.csv,2,48,0.604166667,0.125,0.0625,0.472065376,0.509615385,0.434515366,1637.55421,Transverse Gallop,268.5927219,286.1345028,0.65625,0.145833333,0.03125,Half Bound,flat,1.011640252,1618.711995,Half Bound,Half Bound
266,gale_f5_flatxypts.csv,1,48,0.666666667,0.166666667,0.083333333,0.395833333,NA,0.395833333,1688.293669,Transverse Gallop,NA,327.6621788,0.666666667,0.145833333,0.03125,Half Bound,flat,1.011640252,1668.867629,Half Bound,Half Bound
267,gale_f7_polexypts.csv,1,39.25,0.585987261,0.050955414,0,0.582488739,0.554166667,0.610810811,1281.937512,Half Bound,181.994565,184.328524,0.585987261,0.025477707,-0.012738854,Bound,pole,1.091124426,1174.877477,Bound,Bound
268,gale_f7_polexypts.csv,2,48,0.541666667,0,-0.104166667,0.677462894,0.658395176,0.696530612,1008.463819,Bound,181.1478318,181.7985398,0.520833333,0.052083333,-0.114583333,Rotary Gallop,pole,1.091124426,924.2427307,Bound,Bound
269,gale_f7_polexypts.csv,3,52.5,0.495238095,0.019047619,0,0.628463754,0.616526904,0.640400605,1039.591373,Bound,216.2029966,215.6729889,0.495238095,0.057142857,-0.038095238,Rotary Gallop,pole,1.091124426,952.7706907,Bound,Bound
270,gale_f7_polexypts.csv,4,47.25,0.634920635,0.126984127,-0.021164021,0.63274087,0.632575758,0.632905983,1179.110576,Rotary Gallop,201.0173876,205.3371484,0.613756614,0.137566138,-0.042328042,Rotary Gallop,pole,1.091124426,1080.638054,Half Bound,Half Bound
